"","PD_SIR","PD_Frailty","Simple_Model","DIC_SIR","DIC_Frailty","Model_choice"
"Tianjin",2.3738880335586,2.51933919607963,1,851.243491676786,851.568183825657,1
"Harbin",2.17053758075306,2.42608138749797,1,1285.24314414575,1285.71999731589,1
"Nanjing",2.43645606472272,2.67805748552081,1,531.170572626363,531.64147514481,1
"Xuzhou",2.44186463679059,2.66763475138938,1,511.474157311442,511.924401848888,1
"Suzhou",2.42679167823115,2.76805110863468,1,522.199803289078,522.800845346224,1
"Huai'an",2.51511125398715,2.71266748284263,1,432.154912862696,432.516242110683,1
"Hangzhou",2.26799340836346,2.40953165152644,1,1011.80446685827,1012.10513268591,1
"Ningbo",2.288517910989,2.4471839195247,1,853.770673546478,854.102703042137,1
"Wenzhou",2.11935346813976,2.14906076616024,1,2972.65003522583,2972.81434377087,1
"Taizhou",2.25376595946574,7.62515105611804,1,732.394249830655,732.394350285501,1
"Hefei",2.1833129875337,2.47378152477144,1,1067.57055875039,1068.09050684458,1
"Bengbu",2.28065253224205,2.46393057831753,1,974.024723905371,974.400033951001,1
"Anqing",2.43335345344228,2.71540857179019,1,495.663750662774,496.174200527008,1
"Fuyang",2.21224883620572,2.40814572965201,1,991.272957135458,991.653698330462,1
"Lu'an",2.57754486854471,2.71308614499255,1,418.470930995905,418.72154172922,1
"Bozhou",2.37928704011904,2.5465884991858,1,676.138605007034,676.485054421869,1
"Fuzhou",5.70437263791723,2.76579992677149,2,417.39804439702,413.701736628046,2
"Putian",3.92736420538504,3.36375338412464,2,333.974337580433,333.565226988052,2
"Nanchang",2.13770163554594,2.28208151580291,1,1435.00058105264,1435.33968425888,1
"Jiujiang",2.279338469347,2.35995589428704,1,712.529318679676,712.398442530225,2
"Xinyu",2.23462833846045,2.34650412858668,1,797.450886878719,797.74196332975,1
"Ganzhou",2.61031953971431,2.81992868283157,1,473.837988378156,474.263185728254,1
"Yichun",2.39190026113975,2.67828839503688,1,688.454605716738,688.986986736924,1
"Fuzhou",2.60553077037546,2.84417486894164,1,440.194326477384,440.635230909733,1
"Shangrao",2.41646582763243,2.50964685078223,1,721.577613572133,721.840350211994,1
"Zhengzhou",2.3934955171456,2.58561579836939,1,975.659038438487,976.057737179964,1
"Nanyang",2.33313933362866,2.565509651888,1,985.056053438606,985.482530388052,1
"Shangqiu",2.38208778670508,2.59017221969797,1,535.850484688001,536.257331968851,1
"Xinyang",2.0717220002222,2.3712234018757,1,1730.90092145932,1731.42160774746,1
"Zhoukou",4.33383829824486,3.04310241255667,2,484.458583044179,482.946403823958,2
"Zhumadian",2.30415802280573,2.46239441999375,1,821.65208346596,821.999298338492,1
"Huangshi",2.04247089664867,2.21962470263907,1,6732.72004769342,6733.07696652908,1
"Shiyan",2.00379388173191,2.22027653972073,1,4443.25475487952,4443.68052700832,1
"Yichang",1.97174410577415,5.3006250044655,1,6094.20799241152,6087.19940835943,2
"Xiangyang",2.03926762638045,2.22267142874823,1,7158.90119962882,7159.29033824136,1
"Ezhou",1.98691332524027,2.27231945213923,1,9343.39380544817,9343.88912144399,1
"Jingmen",2.03333436984685,2.22919209455609,1,7489.9964624848,7490.4059010986,1
"Xiaogan",2.03514574320875,5.00104150721069,1,22893.7110140654,22892.9535799195,2
"Jingzhou",2.04243763857618,2.29556500451866,1,10446.5264939017,10446.9951506295,1
"Huanggang",1.99280183317554,2.16604007403228,1,18573.7154741382,18574.0680010431,1
"Xianning",2.04383757461118,2.28150240026503,1,6343.74528611586,6344.21489441245,1
"Suizhou",2.00980945868483,1.97679124491075,2,8105.75368785198,8105.70596500417,2
"Changsha",2.17147238119816,2.2998075107031,1,1389.5102215485,1389.82017629549,1
"Zhuzhou",2.57355875822642,2.71249171643248,1,492.049878476102,492.3967109914,1
"Shaoyang",2.42755153583106,2.65554482275597,1,620.475362368077,620.919408837101,1
"Yueyang",2.26789517058555,2.4228335660712,1,964.204716743619,964.566205997454,1
"Changde",4.69463681536553,2.8392702416903,2,530.048448071308,527.96471904984,2
"Loudi",2.55057805978161,2.83383023073516,1,443.057572007252,443.560190688632,1
"Zhuhai",2.35358356284013,2.49749045440638,1,556.655123740728,556.743387243136,1
"Huizhou",3.12383463953898,3.15635339872386,1,361.219654077363,361.450554065976,1
"Dongguan",2.41550444875646,2.47090026041208,1,685.822493983701,685.96406535824,1
"Chongqing",2.11513706665002,2.29633956646109,1,3615.77099819821,3616.15062919154,1
"Xi'an",2.40301403002433,2.55249950743003,1,740.649772624604,740.972901842649,1
