"","ELPD1","ELPD2","Diff","SE_Diff","Kgt1_M1","Kgt1_M2","Better"
"Tianjin",-428.734853970294,-428.825143374471,-0.0902894041773656,0.0895879257430134,11,11,1
"Harbin",-648.334907345981,-648.554789293324,-0.219881947342568,0.099781287845401,12,12,1
"Nanjing",-267.913751158851,-268.03124365383,-0.117492494979466,0.105478446804161,19,19,1
"Xuzhou",-257.510539373351,-257.635325261295,-0.124785887943339,0.127262465095363,18,18,1
"Suzhou",-263.488753483615,-263.686474362302,-0.197720878687756,0.12237962354889,20,20,1
"Huai'an",-217.316686328985,-217.393729347717,-0.0770430187321711,0.0649403752966932,17,17,1
"Hangzhou",-512.347757023134,-512.587393754767,-0.239636731632567,0.235417619051453,16,16,1
"Ningbo",-433.457278778736,-433.487760103629,-0.0304813248924809,0.11215238453354,18,18,1
"Wenzhou",-1507.45842147772,-1508.49060476703,-1.03218328930872,0.554163547283602,16,16,1
"Taizhou",-372.355111384743,-375.127271661274,-2.77216027653068,3.9290185211726,19,19,1
"Hefei",-539.224917912664,-539.365028059117,-0.140110146453223,0.134509581922868,15,15,1
"Bengbu",-492.467960429718,-492.587011282565,-0.119050852847433,0.0824353758423187,15,15,1
"Anqing",-250.423434327388,-250.634810604288,-0.211376276899971,0.101723903010702,19,19,1
"Fuyang",-500.260612828512,-500.350783367268,-0.0901705387564675,0.0767756990571122,15,15,1
"Lu'an",-210.736664422244,-210.847936476566,-0.111272054321486,0.140561817082832,18,18,1
"Bozhou",-341.489172095945,-341.520081694553,-0.0309095986073853,0.0554096772693841,18,18,1
"Fuzhou",-209.449378649855,-208.510819915273,-0.938558734582303,0.437557598200519,16,16,2
"Putian",-168.039212916019,-168.057036879078,-0.0178239630593815,0.0738757329163424,21,21,1
"Nanchang",-725.158223615192,-725.605850307871,-0.447626692679576,0.260489690966819,15,15,1
"Jiujiang",-360.470513424139,-360.768285840343,-0.297772416203802,0.560444559619916,17,17,1
"Xinyu",-402.933225841672,-403.13230133457,-0.199075492897425,0.15451249889613,18,18,1
"Ganzhou",-239.099518280087,-239.194167489441,-0.0946492093539675,0.0700476102316172,20,20,1
"Yichun",-346.865361313469,-347.04500036292,-0.179639049450374,0.0809096057867929,16,16,1
"Fuzhou",-222.383829340672,-222.477298049988,-0.093468709316662,0.0523632161628014,19,19,1
"Shangrao",-365.55925562853,-365.558363452645,-0.000892175885388369,0.0688158961233126,19,19,2
"Zhengzhou",-493.53988621131,-493.579957104236,-0.0400708929264688,0.100681251058346,14,14,1
"Nanyang",-498.003095166759,-498.213885714383,-0.210790547623594,0.146069119155172,16,16,1
"Shangqiu",-270.893924399134,-271.079561528895,-0.185637129760664,0.120160529296474,19,19,1
"Xinyang",-873.885780919254,-874.228384957768,-0.34260403851388,0.163208477326911,11,11,1
"Zhoukou",-243.530834062133,-243.313919612154,-0.216914449978699,0.286221673747314,16,16,2
"Zhumadian",-415.459733705301,-415.517209485709,-0.0574757804083212,0.0917570015219085,19,19,1
"Huangshi",-3402.9516180881,-3404.15689365691,-1.20527556880772,0.910134888423761,7,8,1
"Shiyan",-2240.96035315381,-2241.32665035266,-0.366297198848931,0.191976394859884,8,8,1
"Yichang",-3080.55166535674,-3117.89230788651,-37.3406425297647,21.8024211665831,6,9,1
"Xiangyang",-3625.45370183514,-3626.45847367772,-1.0047718425728,0.808498025561932,9,9,1
"Ezhou",-4719.1185377252,-4721.13904151178,-2.02050378658389,0.568767103642587,2,2,1
"Jingmen",-3784.51145255408,-3784.42694647705,-0.0845060770374246,0.308560476242268,3,3,2
"Xiaogan",-11563.1321946678,-11601.0634270228,-37.9312323550649,13.2954020481465,11,14,1
"Jingzhou",-5282.77603288919,-5282.07649446138,-0.699538427812204,0.502841445821801,9,9,2
"Huanggang",-9388.44720777313,-9392.03308880436,-3.58588103122304,1.52621164649569,13,15,1
"Xianning",-3208.12809723981,-3209.15164405156,-1.02354681174442,0.459429370036386,15,15,1
"Suizhou",-4099.72734873595,-4100.38751957849,-0.660170842533098,1.21020618182454,7,8,1
"Changsha",-703.466986814108,-703.664194038249,-0.197207224141172,0.216567323695593,19,19,1
"Zhuzhou",-248.034053708,-248.164813221392,-0.13075951339173,0.0571862005428369,18,18,1
"Shaoyang",-313.338748529872,-313.50972776011,-0.170979230238272,0.125254395926294,19,19,1
"Yueyang",-487.025768712806,-487.143919473952,-0.118150761146167,0.084424863314379,16,16,1
"Changde",-266.455415064896,-265.922636768408,-0.532778296488232,0.176382031996092,16,16,2
"Loudi",-223.066946598002,-223.203804556037,-0.136857958034852,0.0932876303552135,18,18,1
"Zhuhai",-280.969295307467,-281.277549335426,-0.308254027959084,0.379163585913319,16,16,1
"Huizhou",-181.223230634422,-181.322531692712,-0.0993010582894858,0.0950152809409465,15,15,1
"Dongguan",-344.424653251809,-344.578797836921,-0.154144585111766,0.196778361795131,7,7,1
"Chongqing",-1828.77634752851,-1829.18505838224,-0.408710853724353,0.240768563855869,9,9,1
"Xi'an",-373.37917769423,-373.439252495533,-0.0600748013025303,0.093981013434408,14,14,1
