"","city","beta_mean","beta_lb","beta_ub","rho_mean","rho_lb","rho_ub","N_mean","N_lb","N_ub","R0_mean","R0_lb","R0_ub"
"1","Tianjin",0.377501516287742,0.310598501077478,0.441143500305142,0.0420454543723989,0.0213073778304276,0.0743499560707456,147.927808836447,139.406535370264,161.838557842989,2.26500909772645,1.86359100646487,2.64686100183085
"2","Harbin",0.457708921638752,0.412228294701041,0.503518344558719,0.0104599549036748,0.00559094072746174,0.0176299682354586,215.666331397876,210.068199776802,223.059654828944,2.74625352983251,2.47336976820625,3.02111006735231
"3","Nanjing",0.481584575290758,0.401627083182374,0.560722742001474,0.0204643284011004,0.00810416523504528,0.0421582873033352,91.3954895633777,88.5618965670911,95.8678809344745,2.88950745174455,2.40976249909424,3.36433645200884
"4","Xuzhou",0.423529974685147,0.338846087431708,0.505264853185721,0.0353824598752602,0.0148128195744239,0.0711050937222245,88.0215681026555,83.7781833347972,95.2781153819636,2.54117984811088,2.03307652459025,3.03158911911433
"5","Suzhou",0.484779414711427,0.394262412458664,0.574488508558653,0.0322837844455002,0.0133878763523069,0.0652043043641366,90.9399788251191,88.1202889509604,95.5503797893882,2.90867648826856,2.36557447475199,3.44693105135192
"6","Huai'an",0.438360885292954,0.354773124341063,0.522128095690449,0.0193438166327594,0.00664590637675001,0.0427976139042952,73.2707162330606,69.7304256778649,79.2571361836861,2.63016531175772,2.12863874604638,3.13276857414269
"7","Hangzhou",0.502622621194814,0.424305734537674,0.579184919461384,0.0506003534114164,0.0282451914071361,0.0842055189426157,179.381236579569,175.603920875661,185.048779820659,3.01573572716888,2.54583440722604,3.4751095167683
"8","Ningbo",0.619910150296751,0.545600135650992,0.695701894723436,0.0107004693147323,0.0049533601934061,0.0197959409014253,153.223436424908,151.531215903051,155.622770157671,3.71946090178051,3.27360081390595,4.17421136834062
"9","Wenzhou",0.516694174604854,0.475314275438445,0.55775749010824,0.0346447865320762,0.0249398152953334,0.0468738791045356,522.64707146076,516.479635682771,530.309676868248,3.10016504762912,2.85188565263067,3.34654494064944
"10","Taizhou",0.618859445028657,0.524483091106262,0.715110801867746,0.0247492317936161,0.0120771665483523,0.0446698109991423,132.493994588802,130.843431997396,135.025961986939,3.71315667017194,3.14689854663757,4.29066481120648
"11","Hefei",0.460709191870513,0.403518944032926,0.517672168908179,0.0236538877237257,0.0126105073408062,0.0399482502052383,182.345323303084,177.417083472945,189.20899252221,2.76425515122308,2.42111366419756,3.10603301344907
"12","Bengbu",0.575525151493769,0.516882312479376,0.635388218802968,0.00307636179376349,0.00130440341835625,0.00605537028379147,168.602567017435,166.311049444827,171.712773250377,3.45315090896261,3.10129387487625,3.81232931281781
"13","Anqing",0.523637473959688,0.426388135215859,0.62091648124171,0.0254380245851868,0.00986384786197081,0.0531561635991277,86.4240011671686,84.2223254716647,90.0705082802794,3.14182484375813,2.55832881129516,3.72549888745026
"14","Fuyang",0.443716572137309,0.382998109468865,0.503459164206447,0.0300696470146293,0.0159898763251131,0.0512289799652933,169.800123008435,164.482425257789,177.459321528066,2.66229943282385,2.29798865681319,3.02075498523868
"15","Lu'an",0.538988384596111,0.446879809883184,0.63406137596686,0.00845253124129927,0.0024837696259181,0.0203175486811019,71.5940797998046,69.7882390368761,74.5233996051698,3.23393030757666,2.6812788592991,3.80436825580116
"16","Bozhou",0.493074811346957,0.420234419621714,0.565362712947272,0.0165226072151504,0.00701049632539056,0.0326214797884825,115.518861768667,112.418364536116,120.201688366441,2.95844886808174,2.52140651773028,3.39217627768363
"17","Fuzhou",0.326518626322544,0.0731616883889409,0.480970757974818,0.147153875848353,0.0470720771006804,0.390365710605716,186.025062560591,68.9707836815519,455.628280436277,1.95911175793526,0.438970130333646,2.88582454784891
"18","Putian",0.430398926395479,0.273108711602885,0.56198998293533,0.0758147786448617,0.0242814241712049,0.193947751585226,335.230828911671,56.0237713029501,68.1941419930163,2.58239355837287,1.63865226961731,3.37193989761198
"19","Nanchang",0.472567192620644,0.421508672619803,0.523721894427977,0.0254928219783722,0.0152637773326497,0.0397660943517191,245.413525594323,240.029953645383,252.594624012245,2.83540315572387,2.52905203571882,3.14233136656786
"20","Jiujiang",0.520177421257067,0.437693649618531,0.60377996651175,0.0273544735763946,0.0129282358658257,0.0505566437533208,123.305735447844,120.513617713716,127.539947264071,3.1210645275424,2.62616189771118,3.6226797990705
"21","Xinyu",0.512449031643528,0.446274501772918,0.579131250926966,0.014218983572078,0.0067089447482157,0.0261563395885712,136.767392071372,133.794309487371,141.035331691696,3.07469418986117,2.67764701063751,3.47478750556179
"22","Ganzhou",0.472783833405868,0.373443296548183,0.566609754921425,0.0375886939239234,0.0147316756043699,0.0793730658583411,82.8318979240774,79.9608099471758,87.8756201793974,2.83670300043521,2.2406597792891,3.39965852952855
"23","Yichun",0.435828614658354,0.367927423453808,0.501839489241499,0.0228369248975053,0.0101990072425649,0.0437473212394311,117.372807802648,112.809457087272,124.482040976922,2.61497168795012,2.20756454072285,3.01103693544899
"24","Fuzhou",0.522548942069271,0.426849249489876,0.619103864945752,0.0165934884459593,0.00544404786887255,0.037951529149196,76.0989655196047,74.0390784246993,79.5052292441695,3.13529365241563,2.56109549693926,3.71462318967451
"25","Shangrao",0.607423155883918,0.532707268612785,0.684420823587835,0.0045191471224049,0.00173681134939886,0.00947401101316195,126.97797964593,125.321982959626,129.350608688881,3.64453893530351,3.19624361167671,4.10652494152701
